"transaction_id,product_id,customer_id,quantity,price,date"
"1,101,201,2,19.99,2023-01-15"
"2,102,202,1,29.99,2023-02-20"
"3,103,203,3,15.99,2023-03-05"
"4,104,204,1,9.99,2023-04-10"
"5,105,201,4,25.99,2023-05-15"
"6,106,202,2,14.99,2023-06-20"
"7,107,203,5,10.99,2023-07-25"
"8,108,204,3,30.99,2023-08-30"
"9,109,201,1,5.99,2023-09-05"
"10,110,202,2,22.99,2023-10-10"
"11,101,203,3,19.99,2023-11-15"
"12,102,204,2,29.99,2023-11-20"
"13,103,201,1,15.99,2023-12-05"
"14,104,202,4,9.99,2023-12-10"
"15,105,203,2,25.99,2024-01-15"
"16,106,204,1,14.99,2024-01-20"
"17,107,201,3,10.99,2024-02-05"
"18,108,202,5,30.99,2024-02-10"
"19,109,203,4,5.99,2024-03-15"
"20,110,204,2,22.99,2024-03-20"
"21,101,201,1,19.99,2024-04-05"
"22,102,202,3,29.99,2024-04-10"
"23,103,203,2,15.99,2024-05-15"
"24,104,204,5,9.99,2024-05-20"
"25,105,201,3,25.99,2024-06-25"
"26,106,202,1,14.99,2024-07-30"
"27,107,203,4,10.99,2024-08-05"
"28,108,204,2,30.99,2024-09-10"
"29,109,201,1,5.99,2024-09-15"
"30,110,202,3,22.99,2024-10-20"
"31,101,203,2,19.99,2024-11-05"
"32,102,204,1,29.99,2024-11-10"
"33,103,201,3,15.99,2024-12-15"
"34,104,202,4,9.99,2024-12-20"
"35,105,203,1,25.99,2025-01-25"
"36,106,204,2,14.99,2025-02-28"
"37,107,201,5,10.99,2025-03-05"
"38,108,202,3,30.99,2025-04-10"
"39,109,203,2,5.99,2025-04-15"
"40,110,204,1,22.99,2025-05-20"
"41,101,201,3,19.99,2025-06-25"
"42,102,202,1,29.99,2025-07-30"
"43,103,203,4,15.99,2025-08-05"
"44,104,204,2,9.99,2025-09-10"
"45,105,201,1,25.99,2025-10-15"
"46,106,202,5,14.99,2025-11-20"
"47,107,203,3,10.99,2025-12-25"
"48,108,204,2,30.99,2026-01-30"
"49,109,201,1,5.99,2026-02-05"
"50,110,202,4,22.99,2026-03-10"
"51,101,203,2,19.99,2026-04-15"
"52,102,204,3,29.99,2026-05-20"
"53,103,201,1,15.99,2026-06-25"
"54,104,202,5,9.99,2026-07-30"
"55,105,203,2,25.99,2026-08-05"
"56,106,204,4,14.99,2026-09-10"
"57,107,201,1,10.99,2026-10-15"
"58,108,202,3,30.99,2026-11-20"
"59,109,203,2,5.99,2026-12-25"
"60,110,204,5,22.99,2027-01-30"
"61,101,201,3,19.99,2027-02-05"
"62,102,202,2,29.99,2027-03-10"
"63,103,203,1,15.99,2027-04-15"
"64,104,204,4,9.99,2027-05-20"
"65,105,201,2,25.99,2027-06-25"
"66,106,202,1,14.99,2027-07-30"
"67,107,203,5,10.99,2027-08-05"
"68,108,204,3,30.99,2027-09-10"
"69,109,201,2,5.99,2027-10-15"
"70,110,202,1,22.99,2027-11-20"
"71,101,203,4,19.99,2027-12-25"
"72,102,204,1,29.99,2028-01-30"
"73,103,201,2,15.99,2028-02-05"
"74,104,202,3,9.99,2028-03-10"
"75,105,203,1,25.99,2028-04-15"
"76,106,204,5,14.99,2028-05-20"
"77,107,201,2,10.99,2028-06-25"
"78,108,202,1,30.99,2028-07-30"
"79,109,203,3,5.99,2028-08-05"
"80,110,204,2,22.99,2028-09-10"
"81,101,201,1,19.99,2028-10-15"
"82,102,202,4,29.99,2028-11-20"
"83,103,203,2,15.99,2028-12-25"
"84,104,204,3,9.99,2029-01-30"
"85,105,201,5,25.99,2029-02-05"
"86,106,202,1,14.99,2029-03-10"
"87,107,203,2,10.99,2029-04-15"
"88,108,204,4,30.99,2029-05-20"
"89,109,201,1,5.99,2029-06-25"
"90,110,202,3,22.99,2029-07-30"
"91,101,203,3,19.99,2029-08-05"
"92,102,204,2,29.99,2029-09-10"
"93,103,201,1,15.99,2029-10-15"
"94,104,202,4,9.99,2029-11-20"
"95,105,203,2,25.99,2029-12-25"
"96,106,204,1,14.99,2030-01-30"
"97,107,201,5,10.99,2030-02-05"
"98,108,202,3,30.99,2030-03-10"
"99,109,203,2,5.99,2030-04-15"
"100,110,204,1,22.99,2030-05-20"
