date,year,month,day,weekday,quarter
2023-01-16,2023,1,16,Monday,Q1
2023-02-21,2023,2,21,Tuesday,Q1
2023-03-06,2023,3,6,Monday,Q1
2023-04-11,2023,4,11,Tuesday,Q2
2023-05-16,2023,5,16,Tuesday,Q2
2023-06-21,2023,6,21,Wednesday,Q2
2023-07-26,2023,7,26,Wednesday,Q3
2023-08-31,2023,8,31,Thursday,Q3
2023-09-06,2023,9,6,Wednesday,Q3
2023-10-11,2023,10,11,Wednesday,Q4
2023-11-16,2023,11,16,Thursday,Q4
2023-12-21,2023,12,21,Thursday,Q4
2024-01-17,2024,1,17,Wednesday,Q1
2024-02-22,2024,2,22,Thursday,Q1
2024-03-07,2024,3,7,Thursday,Q1
2024-04-12,2024,4,12,Friday,Q2
2024-05-17,2024,5,17,Friday,Q2
2024-06-22,2024,6,22,Saturday,Q2
2024-07-27,2024,7,27,Saturday,Q3
2024-08-01,2024,8,1,Thursday,Q3
2024-09-07,2024,9,7,Saturday,Q3
2024-10-12,2024,10,12,Saturday,Q4
2024-11-17,2024,11,17,Sunday,Q4
2024-12-22,2024,12,22,Sunday,Q4
2025-01-18,2025,1,18,Saturday,Q1
2025-02-23,2025,2,23,Sunday,Q1
2025-03-08,2025,3,8,Saturday,Q1
2025-04-13,2025,4,13,Sunday,Q2
2025-05-18,2025,5,18,Sunday,Q2
2025-06-23,2025,6,23,Monday,Q2
2025-07-28,2025,7,28,Monday,Q3
2025-08-02,2025,8,2,Saturday,Q3
2025-09-08,2025,9,8,Monday,Q3
2025-10-13,2025,10,13,Monday,Q4
2025-11-18,2025,11,18,Tuesday,Q4
2025-12-23,2025,12,23,Tuesday,Q4
2026-01-19,2026,1,19,Monday,Q1
2026-02-24,2026,2,24,Tuesday,Q1
2026-03-09,2026,3,9,Monday,Q1
2026-04-14,2026,4,14,Tuesday,Q2
2026-05-19,2026,5,19,Tuesday,Q2
2026-06-24,2026,6,24,Wednesday,Q2
2026-07-29,2026,7,29,Wednesday,Q3
2026-08-03,2026,8,3,Monday,Q3
2026-09-09,2026,9,9,Wednesday,Q3
2026-10-14,2026,10,14,Wednesday,Q4
2026-11-19,2026,11,19,Thursday,Q4
2026-12-24,2026,12,24,Thursday,Q4
2027-01-20,2027,1,20,Wednesday,Q1
2027-02-25,2027,2,25,Thursday,Q1
2027-03-10,2027,3,10,Wednesday,Q1
2027-04-15,2027,4,15,Thursday,Q2
2027-05-20,2027,5,20,Thursday,Q2
2027-06-25,2027,6,25,Friday,Q2
2027-07-30,2027,7,30,Friday,Q3
2027-08-04,2027,8,4,Wednesday,Q3
2027-09-10,2027,9,10,Friday,Q3
2027-10-15,2027,10,15,Friday,Q4
2027-11-20,2027,11,20,Saturday,Q4
2027-12-25,2027,12,25,Saturday,Q4
2028-01-21,2028,1,21,Friday,Q1
2028-02-26,2028,2,26,Saturday,Q1
2028-03-11,2028,3,11,Saturday,Q1
2028-04-16,2028,4,16,Sunday,Q2
2028-05-21,2028,5,21,Sunday,Q2
2028-06-26,2028,6,26,Monday,Q2
2028-07-31,2028,7,31,Monday,Q3
2028-08-05,2028,8,5,Saturday,Q3
2028-09-11,2028,9,11,Monday,Q3
2028-10-16,2028,10,16,Monday,Q4
2028-11-21,2028,11,21,Tuesday,Q4
2028-12-26,2028,12,26,Tuesday,Q4
2029-01-22,2029,1,22,Monday,Q1
2029-02-27,2029,2,27,Tuesday,Q1
2029-03-12,2029,3,12,Monday,Q1
2029-04-17,2029,4,17,Tuesday,Q2
2029-05-22,2029,5,22,Tuesday,Q2
2029-06-27,2029,6,27,Wednesday,Q2
2029-07-30,2029,7,30,Monday,Q3
2029-08-06,2029,8,6,Monday,Q3
2029-09-12,2029,9,12,Wednesday,Q3
2029-10-17,2029,10,17,Wednesday,Q4
2029-11-22,2029,11,22,Thursday,Q4
2029-12-27,2029,12,27,Thursday,Q4
2030-01-23,2030,1,23,Wednesday,Q1
2030-02-28,2030,2,28,Thursday,Q1
2030-03-13,2030,3,13,Wednesday,Q1
2030-04-18,2030,4,18,Thursday,Q2
2030-05-23,2030,5,23,Thursday,Q2
2030-06-28,2030,6,28,Friday,Q2
2030-07-31,2030,7,31,Wednesday,Q3
2030-08-07,2030,8,7,Wednesday,Q3
2030-09-13,2030,9,13,Friday,Q3
2030-10-18,2030,10,18,Friday,Q4
2030-11-23,2030,11,23,Saturday,Q4
2030-12-28,2030,12,28,Saturday,Q4
